Portsmouth - Cheltenham,Portsmouth - Cheltenham
Morecambe - Cambridge United,Morecambe - Cambridge
Fleetwood  - Wigan Athletic,Fleetwood - Wigan
Crewe Alexandra - Doncaster Rovers,Crewe - Doncaster
Charlton Athletic - Rotherham United,Charlton - Rotherham
Peterborough United - Huddersfield,Peterborough - Huddersfield
Nottingham - Sheffield Utd,Nottingham - Sheffield Utd
Millwall - Reading FC,Millwall - Reading
Luton  - Middlesbrough,Luton - Middlesbrough
Coventry City - Swansea,Coventry - Swansea
Birmingham City - Bristol City,Birmingham - Bristol City
ES Sétif - HB Chelghoum Laïd,Setif - Chelghoum Laid
Olympique Medea - JS Kabylie,Ol. Medea - JS Kabylie
MC Alger - CR Belouizdad,MC Alger - Belouizdad
Edward Gaming - DWG KIA,Edward Gaming - DAMWON Gaming
Russkie Vityazi - Mikhaylov Academy Novomoskovsk,Russkie Vityazi U20 - Mikhaylov Academy U20
Kapitan Stupino - Spartak Moskwa,Kapitan Stupino U20 - Spartak Moskwa U20
Irbis Kazań - Sarmaty Orenburg,Irbis Kazań U20 - Sarmaty Orenburg U20
HK Riga - Dinamo St. Petersburg,HC Riga U20 - Din. St. Petersburg U20
St. Petersburg - Sp. Moskwa,St. Petersburg - Sp. Moskwa
Nizhny Novgorod - Dinamo Mińsk,N. Novgorod - Dyn. Mińsk
Kazań - Sibir Novosibirsk,Bars Kazań - Novosibirsk
Krefeld - Wolfsburg,Krefeld - Wolfsburg
Koln - Schwenninger,Koeln - Schwenninger
Ingolstadt - Augsburg,Ingolstadt - Augsburg
Eisbaren - Straubing,Eisbaren - Straubing
Bratislava - Villach,Bratislava - Villach
Rio Claro - Ec Uniao Corinthians,Rio Claro - Ec Uniao Corinthians
Post Schwechat K - UVC Graz K,Sokol Post - UVC Graz
SG Union Bisamberg/Hollabrunn K - TSV Hartberg K,Bisamberg - Hartberg
Cagliari - Atalanta,Cagliari - Atalanta
Juventus - Fiorentina,Juventus - Fiorentina
Spezia - Torino,Spezia - Torino
Empoli - Genoa,Empoli - Genoa
Albion FC - Danubio,Albion - Danubio
Rampla Juniors - Rocha,Rampla Juniors - Rocha
Besiktas - Trabzonspor,Besiktas - Trabzonspor
Malatya Bld Spor - Basaksehir FK,Yeni Malatya - Basaksehir
Antalyaspor - Altay Izmir,Antalyaspor - Altay Izmir
Sivasspor - Giresunspor,Sivasspor - Giresunspor
Caykur Rizespor - Alanyaspor,Rizespor - Alanyaspor
Gaziantep FK - Kasimpasa,Gaziantep - Kasimpasa
Örgryte IS - Landskrona BoIS,Orgryte - Landskrona
Trelleborgs FF - Vasalunds IF,Trelleborgs - Vasalunds
Mjällby AIF - IK Sirius,Mjallby - Sirius
IF Elfsborg - Varbergs BoIS,Elfsborg - Varbergs
Luzern - Sion,Luzern - Sion
Grasshoppers - Young Boys,Grasshoppers - Young Boys
Queen of the South - Raith Rovers,Queen of South - Raith
Kilmarnock - Partick,Kilmarnock - Partick Thistle
Hamilton - Arbroath,Hamilton - Arbroath
Dunfermline Athletic - Greenock Morton,Dunfermline - Morton
Ayr United - Inverness CT,Ayr - Inverness
St. Johnstone - St. Mirren,St. Johnstone - St. Mirren
Livingston - Hibernian,Livingston - Hibernian
Hearts - Dundee United,Hearts - Dundee Utd
Aberdeen - Motherwell,Aberdeen - Motherwell
Pakistan Navy - Khan Research Laboratories,Pakistan Navy - KRL
Sarpsborg 08 - Stabæk,Sarpsborg - Stabaek
Brann - Rosenborg BK,Brann - Rosenborg
Nurnberg - Werder,Nurnberg - Werder
Holstein Kiel - Dynamo Dresden,Holstein Kiel - Dyn. Drezno
Lipsk - Dortmund,RB Lipsk - Dortmund
Wolfsburg - FC Augsburg,Wolfsburg - Augsburg
Stuttgart - Arminia Bielefeld,Stuttgart - Bielefeld
VFL Bochum - Hoffenheim,Bochum - Hoffenheim
Bayern - Freiburg,Bayern - Freiburg
Mainz - Borussia M`gladbach,Mainz - Moenchengladbach
OCS Olympique de Safi - Hassania Union Sport Agadir,Olympique Safi - US Agadir
Salmi - Fus Fath Union Sportive Rabat,Salmi - FUS Rabat
SC Telstar - SBV Excelsior,Telstar - Excelsior
FC Volendam - FC Emmen,Volendam - Emmen
VVV-Venlo -  Ajax,Venlo -  Ajax
